Altnernative codes,BLEED_code,Collection_no,Gene Bank Accession,Genus,HTS Queue,ID confirmed,Identified by,Isolated,Material left,NHM,note,Paper,Preservation,Recieved in Oslo,Scraped,SEM info,Sent by,Sequences Recieved,Species,Bock2018::Author,Bock2018::Full,Sample.Location.Date::Coll_date,Sample.Location.Date::Collection_no,Sample.Location.Date::Collector,Sample.Location.Date::Country,Sample.Location.Date::Cruise details,Sample.Location.Date::Day,Sample.Location.Date::Depth 1,Sample.Location.Date::Depth 2,Sample.Location.Date::Location details,Sample.Location.Date::Month,Sample.Location.Date::Place,Sample.Location.Date::Standardized Lat,Sample.Location.Date::Standardized Long,Sample.Location.Date::Station_id,Sample.Location.Date::Year,Worms::Family,Worms::Order
"SRDY19, LHL1",1,OS4,,Exochella,,,AW,,None,,,,Ethanol,3.6.2014,,,Seabourne Rust,,,,,23/01/2010,OS4,A. M. Smith,NZ,,23,85,,,1,Otago Shelf,-45.52,171.12,,2010,Exochellidae,Cheilostomatida
"SRDY19, LHL2",2,OS4,,Microporella,,,AW,,None,,,,Ethanol,3.6.2014,,,Seabourne Rust,,discors?,,,23/01/2010,OS4,A. M. Smith,NZ,,23,85,,,1,Otago Shelf,-45.52,171.12,,2010,Microporellidae,Cheilostomatida
"SRDY62, LHL3",3,PU1,,Microporella,,,AW,,None,,,,Ethanol,3.6.2014,,,Seabourne Rust,,cf intermedia?,,,17/01/2009,PU1,A. M. Smith,New Zealand,,17,180,,,1,Puysegur,-46.02,166.35,,2009,Microporellidae,Cheilostomatida
"SRDY62, LHL4",4,PU1,,Chiastosella?,,,AW,,None,,,,Ethanol,3.6.2014,,,Seabourne Rust,,,,,17/01/2009,PU1,A. M. Smith,New Zealand,,17,180,,,1,Puysegur,-46.02,166.35,,2009,,
"SRDY19, LHL5",5,OS4,"MG977043
MG977102
MG977125
MW159907
MW173784",Microporella,15.2.2018 (RJSO),DPG,AW,14.2.2018 (LT),None,,"18S, 16S, 12S, cox1, cox3, cytb (EE thesis)",,Ethanol,3.6.2014,22.1.2018 (RJSO),"pdt19273, pdt19274, pdt19275, pdt19276",Seabourne Rust,24.5.2018 (RJSO),discors,"Uttley & Bullivant, 1972","MICROPORELLA DISCORS Uttley & Bullivant, 1972",23/01/2010,OS4,A. M. Smith,NZ,,23,85,,,1,Otago Shelf,-45.52,171.12,,2010,Microporellidae,Cheilostomatida
"SRDY19, LHL6",6,OS4,,Crepidacantha,,,AW,,None,,No longer in the collection,,Ethanol,3.6.2014,,,Seabourne Rust,,crinispina,"Levinsen, 1909","Crepidacantha crinispina Levinsen, 1909",23/01/2010,OS4,A. M. Smith,NZ,,23,85,,,1,Otago Shelf,-45.52,171.12,,2010,Crepidacanthidae,Cheilostomatida
,,,,,,,,,,,,,,,,,,,,"Levinsen, 1909","CREPIDACANTHA POISSONII CRINISPINA Levinsen, 1909",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Levinsen, 1909","Crepidacantha crinispina Levinsen, 1909",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,"Levinsen, 1909","CREPIDACANTHA POISSONII CRINISPINA Levinsen, 1909",,,,,,,,,,,,,,,,,
"SRDY39, LHL7",7,OS20,,Microporella,,,,,None,,,,Ethanol,3.6.2014,,,Seabourne Rust,,aff. diademata?,,,26/01/2010,OS20,A. M. Smith,NZ,,26,100,,,1,Otago Shelf,-47.28,167.67,,2010,Microporellidae,Cheilostomatida
