image_id,
MHR.5644,cracks
MHR.5648,cracks
MHR.5803,
MHR.5804,
MHR.5806,other species on lower right
MHR.5817,other stuff
MHR.5822,"rocks detected as ovicells, issue on github"
MHR.6449,
MHR.6457,
MHR.6609,
MHR.6953,
MHR.6976,maybe
MHR.7051,maybe upper left
MHR.7113,other taxa detected as ovicell
MHR.7122,maybe
MHR.7131,other taxa
MHR.7185,growth over top
MHR.7382,
MHR.7403,other 
MHR.7882,other 
MHR.7959,other taxa disrupting masks
MHR.8005,
MHR.8013,"maybe other species to right, masks wrong anyway"
MHR.8100,
MHR.8107,
MHR.8117,
MHR.8134,other taxa
MHR.8135,other taxa
MHR.8564,other taxa
MHR.8581,other taxa
MHR.8582,other taxa
MHR.8586,
MHR.8587,
MHR.8588,
MHR.8825,cracks
MHR.8831,broken
MHR.8865,other species lower left
MHR.9866,other taxa
MHR.9900,
MHR.10517,encrusting
MHR.10730,encrusting
MHR.10790,calcified
MHR.11640,
MHR.11821,other taxa
MHR.11822,other species along bottom
MHR.12081,
MHR.12099,cracks
MHR.12363,cracks
MHR.12370,"seagrass, broken"
MHR.12449,other taxa
