Image_ID,Date,Formation,Age,Sample_ID,Shell_ID,Colony_ID,Genus,Species,
edm7694,15.10.2019,Upper Kai-iwi,Pleistocene,9.38,15,2,Microporella,agonistes,
edm7697,15.10.2019,Upper Kai-iwi,Pleistocene,9.38,15,2,Microporella,agonistes,
edm7700,15.10.2019,Upper Kai-iwi,Pleistocene,9.38,10,2,Microporella,agonistes,
edm7703,15.10.2019,Upper Kai-iwi,Pleistocene,9.38,10,2,Microporella,agonistes,
edm7706,15.10.2019,Upper Kai-iwi,Pleistocene,9.38,4,6,Microporella,agonistes,
edm7709,15.10.2019,Upper Kai-iwi,Pleistocene,9.38,4,6,Microporella,agonistes,
edm7710,16.10.2019,Upper Kai-iwi,Pleistocene,9.38,12,6,Microporella,agonistes,
edm7711,16.10.2019,Upper Kai-iwi,Pleistocene,9.38,12,6,Microporella,agonistes,
edm7712,16.10.2019,Upper Kai-iwi,Pleistocene,9.38,12,6,Microporella,agonistes,
edm7713,16.10.2019,Upper Kai-iwi,Pleistocene,9.38,12,9,Microporella,agonistes,
edm7714,16.10.2019,Upper Kai-iwi,Pleistocene,9.38,12,15,Microporella,agonistes,
edm7715,16.10.2019,Upper Kai-iwi,Pleistocene,9.38,12,15,Microporella,agonistes,
edm7716,16.10.2019,Upper Kai-iwi,Pleistocene,9.38,12,25,Microporella,agonistes,
edm7740,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,31,Microporella,speculum,
edm7741,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,31,Microporella,speculum,
edm7742,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,2,Microporella,agonistes,
edm7743,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,2,Microporella,agonistes,
edm7744,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,57,Microporella,discors,
edm7745,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,57,Microporella,discors,
edm7747,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,12,Microporella,agonistes,
edm7748,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,12,Microporella,agonistes,
edm7749,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,28,Microporella,speculum,
edm7750,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,28,Microporella,speculum,
edm7751,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,77,Microporella,discors,
edm7752,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,77,Microporella,discors,
edm7753,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,29,Microporella,speculum,
edm7754,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,29,Microporella,speculum,
edm7755,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,16,Microporella,speculum,
edm7756,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,16,Microporella,speculum,
edm7757,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,16,Microporella,speculum,
edm7758,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,34,Microporella,speculum,
edm7759,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,35,Microporella,agonistes,
edm7760,17.10.2019,Upper Kai-iwi,Pleistocene,9.38,8,35,Microporella,agonistes,
edm7774,18.10.2019,off Pipi Rocks,Recent,BLEED636,BLEED636,1,Microporella,agonistes,
edm7775,18.10.2019,off Pipi Rocks,Recent,BLEED636,BLEED636,1,Microporella,agonistes,
edm7777,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,11,Microporella,speculum,
edm7778,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,11,Microporella,speculum,
edm7779,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,11,Microporella,speculum,
edm7780,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,11,Microporella,speculum,
edm7781,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,11,Microporella,speculum,
edm7782,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,20,Microporella,speculum,
edm7783,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,20,Microporella,speculum,
edm7784,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,7,Microporella,speculum,
edm7785,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,7,Microporella,speculum,
edm7786,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,7,Microporella,speculum,
edm7787,21.10.2019,Upper Kai-iwi,Pleistocene,9.38,5,7,Microporella,speculum,
edm7815,22.10.2019,Upper Kai-iwi,Pleistocene,9.39,6,5,Microporella,agonistes,
edm7817,22.10.2019,Upper Kai-iwi,Pleistocene,9.39,7,2,Microporella,speculum,
edm7818,22.10.2019,Upper Kai-iwi,Pleistocene,9.39,7,2,Microporella,speculum,
edm7819,22.10.2019,Upper Kai-iwi,Pleistocene,9.39,1,3,Microporella,agonistes,
edm7820,22.10.2019,Upper Kai-iwi,Pleistocene,9.39,1,3,Microporella,agonistes,
edm7821,22.10.2019,Upper Kai-iwi,Pleistocene,9.39,1,5,Microporella,agonistes,
edm7822,22.10.2019,Upper Kai-iwi,Pleistocene,9.39,1,5,Microporella,agonistes,
