Name_of_file,SEM_no,Bleached,BLEED_no,Date,COMMENTS,
MHR.001.BLEED.215,MHR.001,no,215,4/16/2018,other bryozoans present,
MHR.002.BLEED.215,MHR.002,no,215,4/16/2018,other bryozoans present,
MHR.003.BLEED.256,MHR.003,no,256,4/17/2018,other bryozoans present,
MHR.004.BLEED.256,MHR.004,no,256,4/17/2018,other bryozoans present,
MHR.005.BLEED.121,MHR.005,no,121,4/17/2018,,
MHR.006.BLEED.121,MHR.006,no,121,4/17/2018,,
MHR.007.BLEED.389,MHR.007,no,389,4/17/2018,,
MHR.008.BLEED.389,MHR.008,no,389,4/17/2018,,
MHR.009.BLEED.434,MHR.009,no,434,4/17/2018,,
MHR.010.BLEED.434,MHR.010,no,434,4/17/2018,,
MHR.011.BLEED.178,MHR.011,no,178,4/16/2018,,
MHR.012.BLEED.178,MHR.012,no,178,4/16/2018,,
MHR.013.BLEED.162,MHR.013,no,162,4/16/2018,other bryozoans present,
MHR.014.BLEED.162,MHR.014,no,162,4/16/2018,other bryozoans present,
MHR.015.BLEED.197,MHR.015,no,197,4/16/2018,,
MHR.016.BLEED.197,MHR.016,no,197,4/16/2018,,
MHR.017.BLEED.420,MHR.017,no,420,4/16/2018,,
MHR.018.BLEED.420,MHR.018,no,420,4/16/2018,,
MHR.019.BLEED.419,MHR.019,no,419,4/16/2018,,
MHR.020.BLEED.419,MHR.020,no,419,4/16/2018,,
MHR.021.BLEED.424,MHR.021,no,424,4/16/2018,,
MHR.022.BLEED.424,MHR.022,no,424,4/16/2018,,
MHR.023.BLEED.388,MHR.023,no,388,4/16/2018,,
MHR.024.BLEED.388,MHR.024,no,388,4/16/2018,,
MHR.025.BLEED.166,MHR.025,no,166,4/16/2018,,
MHR.026.BLEED.166,MHR.026,no,166,4/16/2018,,
MHR.027.BLEED.178,MHR.027,yes,178,4/17/2018,,
MHR.028.BLEED.178,MHR.028,yes,178,4/17/2018,,
MHR.029.BLEED.162,MHR.029,yes,162,4/17/2018,,
MHR.030.BLEED.162,MHR.030,yes,162,4/17/2018,,
MHR.031.BLEED.215,MHR.031,yes,215,4/17/2018,,
MHR.032.BLEED.215,MHR.032,yes,215,4/17/2018,,
MHR.033.BLEED.419,MHR.033,yes,419,4/17/2018,,
MHR.034.BLEED.419,MHR.034,yes,419,4/17/2018,,
MHR.035.BLEED.420,MHR.035,yes,420,4/17/2018,,
MHR.036.BLEED.420,MHR.036,yes,420,4/17/2018,,
MHR.037.BLEED.132,MHR.037,no,132,4/17/2018,,
MHR.038.BLEED.132,MHR.038,no,132,4/17/2018,,
MHR.039.BLEED.435,MHR.039,no,435,4/17/2018,,
