Image_ID,Date,Formation_name,Age,SAMPLE_ID,Shell_ID,Colony_ID,Genus,Species
MHR.12545,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,1,1,Microporella,aff. discors 
MHR.12546,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,1,1,Microporella,aff. discors 
MHR.12547,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,1,1,Microporella,aff. discors 
MHR.12548,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,1,1,Microporella,aff. discors 
MHR.12559,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,5,3,Microporella,aff. discors 
MHR.12560,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,5,3,Microporella,aff. discors 
MHR.12561,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,5,3,Microporella,aff. discors 
MHR.12562,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,5,3,Microporella,aff. discors 
MHR.12569,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,7,1,Microporella,aff. discors 
MHR.12570,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,7,1,Microporella,aff. discors 
MHR.12571,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,16,1,Microporella,aff. discors 
MHR.12572,06/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,16,1,Microporella,aff. discors 
MHR.12581,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,19,2,Microporella,aff. discors 
MHR.12582,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,19,2,Microporella,aff. discors 
MHR.12583,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,20,1,Microporella,aff. discors 
MHR.12584,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,20,1,Microporella,aff. discors 
MHR.12585,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,20,1,Microporella,aff. discors 
MHR.12586,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,20,1,Microporella,aff. discors 
MHR.12587,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,24,1,Microporella,aff. discors 
MHR.12588,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,24,1,Microporella,aff. discors 
MHR.12589,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,24,1,Microporella,aff. discors 
MHR.12590,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,24,1,Microporella,aff. discors 
MHR.12591,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,27,5,Microporella,aff. discors 
MHR.12592,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,27,5,Microporella,aff. discors 
MHR.12597,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,31,1,Microporella,aff. discors 
MHR.12598,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,31,1,Microporella,aff. discors 
MHR.12599,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,31,1,Microporella,aff. discors 
MHR.12600,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,31,1,Microporella,aff. discors 
MHR.12601,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,32,1,Microporella,aff. discors 
MHR.12602,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,32,1,Microporella,aff. discors 
MHR.12603,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,32,1,Microporella,aff. discors 
MHR.12604,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,32,1,Microporella,aff. discors 
MHR.12611,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,34,1,Microporella,aff. discors 
MHR.12612,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,34,1,Microporella,aff. discors 
MHR.12613,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,34,1,Microporella,aff. discors 
MHR.12614,07/09/2022,Whanganui Core,Pleistocene,W74 Bag 2,34,1,Microporella,aff. discors 
